Plugin,Version,Hive,Description,Column1,Column2
imagefile,20200515,Software,Checks ImageFileExecutionOptions subkeys values,,
inprocserver,20200427,Software,Checks CLSID InProcServer32 values for indications of malware,,
installer,20200517,Software,Determines product install information,,
killsuit,20200427,Software,Check for indications of Danderspritz Killsuit installation,,
killsuit_tln,20200414,Software,Check for indications of Danderspritz Killsuit installation,,
landesk,20200517,Software,Get list of programs monitored by LANDESK - Software hive,,
landesk_tln,20130214,Software,Get list of programs monitored by LANDESK from Software hive,,
lastloggedon,20200517,Software,Gets LastLoggedOn* values from LogonUI key,,
licenses,20200526,Software,Get contents of HKLM/Software/Licenses key,,
msis,20200517,Software,Determine MSI packages installed on the system,,
netsh,20200515,Software,Gets list of NetSH helper DLLs,,
networkcards,20200518,Software,Get NetworkCards Info,,
networklist,20200518,Software,Collects network info from NetworkList key,,
networklist_tln,20150812,Software,Collects network info from NetworkList key (TLN),,
portdev,20090118,Software,Parses Windows Portable Devices key contents,,
powershellcore,20200525,Software,Extracts PowerShellCore settings,,
printdemon,20200514,Software,Gets value assoc with printer ports and descriptions,,
profilelist,20200518,Software,Get content of ProfileList key,,
psscript,20200525,Software, NTUSER.DAT,Get PSScript.ini values,
run,20200511,Software, NTUSER.DAT,[Autostart] Get autostart key contents from Software hive,
runonceex,20200427,Software,Gets contents of RunOnceEx values,,
ryuk_gpo,20200427,Software,Get GPO policy settings from Software hive related to Ryuk,,
schedagent,20200518,Software,Get SchedulingAgent key contents,,
scriptleturl,20200525,Software, USRCLASS.DAT,Check CLSIDs for ScriptletURL subkeys,
secctr,20200517,Software,Get data from Security Center key,,
sfc,20200517,Software,Get SFC values,,
shelloverlay,20100308,Software,Gets ShellIconOverlayIdentifiers values,,
spp_clients,20130429,Software,Determines volumes monitored by VSS,,
srum,20200518,Software,Gets contents of SRUM subkeys,,
ssid,20200515,Software,Get WZCSVC SSID Info,,
susclient,20200518,Software,Extracts SusClient* info, including HDD SN (if avail),
systemindex,20200518,Software,Gets systemindex\..\Paths info from Windows Search key,,
taskcache,20200427,Software,Checks TaskCache\Tree root keys (not subkeys),,
taskcache_tln,20200416,Software,Checks TaskCache\Tree root keys (not subkeys),,
tasks,20200427,Software,Checks TaskCache\Tasks subkeys,,
tasks_tln,20200416,Software,Checks TaskCache\Tasks subkeys,,
thispcpolicy,20200511,Software,Gets ThisPCPolicy values,,
tracing,20200511,Software,Gets list of apps that can be traced,,
tracing_tln,20120608,Software,Gets list of apps that can be traced (TLN),,
uac,20200427,Software,Get Select User Account Control (UAC) Values from HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,,
uninstall,20200525,Software, NTUSER.DAT,Gets contents of Uninstall keys from Software, NTUSER.DAT hives
uninstall_tln,20120523,Software, NTUSER.DAT,Gets contents of Uninstall keys from Software, NTUSER.DAT hives(TLN format)
volinfocache,20200518,Software,Gets VolumeInfoCache from Windows Search key,,
wab,20200427,Software,Get WAB DLLPath settings,,
wab_tln,20191122,Software,Get WAB DLLPath settings,,
watp,20200427,Software,Gets contents of Windows Advanced Threat Protection key,,
wbem,20200511,Software,Get some contents from WBEM key,,
winlogon_tln,20130429,Software,Alerts on values from the WinLogon key (TLN),,
winver,20200525,Software,Get Windows version & build info,,
wow64,20200515,Software,Gets contents of WOW64\x86 key,,
wsh_settings,20200517,Software,Gets WSH Settings,,
syscache,20200515,syscache,Parse SysCache.hve file,,
syscache_csv,20200515,syscache,,,
syscache_tln,20190516,syscache,,,
appcertdlls,20200427,System,Get entries from AppCertDlls key,,
appcompatcache,20200428,System,Parse files from System hive AppCompatCache,,
appcompatcache_tln,20190112,System,Parse files from System hive AppCompatCache,,
backuprestore,20200517,System,Gets the contents of the FilesNotToSnapshot, KeysNotToRestore, and FilesNotToBackup keys
bam,20200427,System,Parse files from System hive BAM Services,,
bam_tln,20180225,System,Parse files from System hive BAM Services,,
bthenum,20200515,System,Get BTHENUM subkey info,,
bthport,20200517,System,Gets Bluetooth-connected devices from System hive,,
bthport_tln,20180705,System,Gets Bluetooth-connected devices from System hive; TLN output,,
codepage,20200519,system,Checks codepage value,,
compname,20090727,System,Gets ComputerName and Hostname values from System hive,,
cred,20200427,system,Checks for UseLogonCredential value,,
cred_tln,20200402,system,Checks UseLogonCredential value,,
dafupnp,20200525,System,Parses data from networked media streaming devices,,
devclass,20200525,System,Get USB device info from the DeviceClasses keys in the System hive,,
disablelastaccess,20200517,System,Get NTFSDisableLastAccessUpdate value,,
disableremotescm,20200513,System,Gets DisableRemoteScmEndpoints value from System hive,,
environment,20200512,System, NTUSER.DAT,Get environment vars from NTUSER.DAT & System hives,
imagedev,20140104,System, --,,
ips,20200518,System,Get IP Addresses and domains (DHCP,static),
lsa,20200517,System,Lists specific contents of LSA key,,
macaddr,20200515,System,Software, --,
mountdev,20200517,System,Return contents of System hive MountedDevices key,,
mountdev2,20200517,System,Return contents of System hive MountedDevices key,,
netlogon,20200515,System,Parse values for machine account password changes,,
networksetup2,20191004,System,Get NetworkSetup2 subkey info,,
nic2,20200525,System,Gets NIC info from System hive,,
ntds,20200427,System,Parse Services NTDS key for specific persistence values,,
pagefile,20140505,System,Get info on pagefile(s),,
pending,20130711,System,Gets contents of PendingFileRenameOperations value,,
portproxy,20210622,System,Get port proxy configuration from PortProxy key,,
prefetch,20200515,System,Gets the the Prefetch Parameters,,
printmon,20200427,System,Lists installed Print Monitors,,
printmon_tln,20191122,System,Lists installed Print Monitors,,
processor_architecture,20140505,System,Get from the processor architecture from the System's environment key,,
rdpport,20200526,System,Queries System hive for RDP Port,,
remoteaccess,20200517,System,Get RemoteAccess AccountLockout settings,,
routes,20200526,System,Get persistent routes from the Registry,,
ScanButton,20131210,System,Get Scan Button information,,
securityproviders,20200526,System,Gets SecurityProvider value from System hive,,
services,20191024,System,Lists services/drivers in Services key by LastWrite times,,
shares,20200525,System,Get list of shares from System hive file,,
shimcache,20200428,System,Parse file refs from System hive AppCompatCache data,,
shimcache_tln,20190112,System,Parse file refs from System hive AppCompatCache data,,
shutdown,20200518,System,Gets ShutdownTime value from System hive,,
source_os,20200511,System,Parse Source OS subkey values,,
svc,20200525,System,Lists Services key contents by LastWrite time (CSV),,
svcdll,20200525,System,Lists Services keys with ServiceDll values,,
svc_tln,20130911,System,Lists Services key contents by LastWrite time (CSV),,
termcert,20200526,System,Gets Terminal Server certificate,,
termserv,20200506,System, Software,Gets Terminal Server settings from System and Software hives,
timezone,20200518,System,Get TimeZoneInformation key contents,,
usb,20200515,System,Get USB key info,,
usbdevices,20200525,System,Parses Enum\USB key for USB & WPD devices,,
usbstor,20200515,System,Get USBStor key info,,
wpdbusenum,20200515,System,Get WpdBusEnum subkey info,,
exefile,20211214,USRCLASS.DAT,Software,Get file associations using exefile file handler and modified open handler for exefile,
photos,20200525,USRCLASS.DAT,Shell/BagMRU traversal in Win7 USRCLASS.DAT hives,,
shellbags,20200428,USRCLASS.DAT,Shell/BagMRU traversal in Win7+ USRCLASS.DAT hives,,
shellbags_tln,20180702,USRCLASS.DAT,Shell/BagMRU traversal in Win7 USRCLASS.DAT hives,,
uacbypass,20200511,USRCLASS.DAT, Software,Get possible UAC bypass settings,
